Word,Sentence 1,Sentence 2
the,Can you find the cat?,The dog is big.
to,I want to go home.,I like to play.
and,I see you and I.,Mom and dad are nice.
he,He is fast.,He can run.
you,You are here.,You have a toy.
it,It is here.,It is my ball.
of,I love books of animals.,The box of toys is full.
in,That is in the closet.,The cat is in the house.
was,I see there was a cow at the farm.,She was at school.
said,She said it was fixed.,Dad said come here.
his,That is his phone.,His dog is brown.
that,That is my book.,I see that you are here.
she,She is my mom.,She has a red dress.
for,This is for you.,I made this for dad.
on,The book is on the table.,Put your hat on.
they,They are my friends.,They like to play.
but,I want to go but I can't.,It is small but cute.
had,I had a good day.,She had ten cats.
at,Look at the bird.,I am at home.
him,Give it to him.,I see him run.
with,Come with me.,I play with my toy.
up,Look up at the sky.,Pick up your book.
all,I ate all my food.,All the kids are here.
look,Look at me.,I look for my toy.
is,The cat is black.,This is my house.
her,That is her bag.,I like her dress.
there,Put it over there.,There is a dog.
some,I want some milk.,Some cats are big.
out,Go out and play.,Take out the trash.
as,Run as fast as you can.,I am as tall as you.
be,I want to be a teacher.,Be nice to others.
have,I have a new bike.,We have fun at school.
go,Let's go to the park.,I go to bed early.
we,We are best friends.,We like to sing.
am,I am six years old.,I am happy today.
then,First eat then play.,We went home then slept.
little,I have a little dog.,The little bird can fly.
down,The ball rolled down.,Sit down on the chair.
do,What do you want?,I do my homework.
can,I can ride a bike.,Can you help me?
could,I could see the moon.,Could you pass the ball?
when,When will you come?,I smile when I'm happy.
did,Did you eat lunch?,I did my best.
what,What is your name?,What do you see?
so,I am so happy.,It is so pretty.
see,I see a rainbow.,Can you see the star?
not,I am not tired.,Do not run inside.
were,The kids were playing.,We were at the zoo.
get,I will get my coat.,Can you get the book?
them,I gave them cookies.,I like them a lot.
like,I like ice cream.,Do you like to read?
one,I have one apple.,One plus one is two.
this,This is my room.,I made this for you.
my,This is my backpack.,My mom is kind.
would,I would like a cookie.,Would you help me?
me,Come sit by me.,Give me the ball.
will,I will help you.,The sun will shine.
yes,Yes I can do it.,Yes that is right.
big,The elephant is big.,I have a big smile.
went,We went to the store.,I went to bed early.
are,You are my friend.,The flowers are pretty.
come,Come here right now.,Will you come with me?
if,If you try you can do it.,I will go if you go.
now,We need to go now.,I am ready now.
long,The snake is long.,It has been a long day.
no,No I cannot go.,There is no more milk.
came,My friend came over.,The mail came today.
ask,I will ask mom.,Ask me a question.
very,I am very happy.,The cake is very good.
an,I saw an elephant.,Give me an apple.
over,Jump over the log.,The game is over.
your,Is this your book?,What is your name?
its,The dog wagged its tail.,The bird hurt its wing.
ride,I can ride a horse.,Let's ride our bikes.
into,Walk into the house.,Put the toy into the box.
just,I just got here.,It is just right.
blue,The sky is blue.,I have blue eyes.
red,The apple is red.,My favorite color is red.
from,I got this from mom.,The gift is from grandma.
good,You did a good job.,This tastes good.
any,Do you have any gum?,I don't see any cats.
about,Tell me about your day.,I know about animals.
around,Look around the room.,We walked around the park.
want,I want some water.,Do you want to play?
don't,I don't like broccoli.,Don't forget your lunch.
how,How are you today?,I know how to swim.
know,I know the answer.,Do you know my name?
right,Turn right at the corner.,You got it right.
put,Put on your shoes.,I will put it away.
too,I want to come too.,This box is too heavy.
got,I got a new toy.,We got home safely.
take,Take my hand.,I will take the bus.
where,Where is my backpack?,Where are you going?
every,I brush my teeth every day.,Every kid needs love.
pretty,The flower is pretty.,You look pretty today.
jump,I can jump high.,Jump over the puddle.
green,The grass is green.,I like green apples.
